OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
379800,University of Washington-Seattle Campus,Seattle,WA,Far West,12.545,2.1,Graduate,Public,Large City,No,55.86,1341,No,31145,12.017,26.825,19.953,30.94,13.441,20.29,21.7,82,32.7274533,39.205,68.925
380200,Western Washington University,Bellingham,WA,Far West,14.048,1.7,Graduate,Public,Small City,No,93.51,1184,No,14121,17.07,24.465,8.073,10.757,10.277,23.22,35.87,67.54,26.6853933,51.312,54.976
380300,Whitman College,Walla Walla,WA,Far West,12.385,1.4,Bachelors,Private nonprofit,Small City,No,54.13,1360,No,1339,35.894,69.532,33.08,22.105,9.76,11.84,40.72,85.75,11.6838488,98.863,59.34
380400,Whitworth University,Spokane,WA,Far West,20.5,1.4,Graduate,Private nonprofit,Suburb,No,91.01,1171,No,2359,24.492,60.359,17.2,10.337,7.337,31.4,54.41,77.04,24.2248062,63.155,55.248
380600,Alderson Broaddus University,Philippi,WV,South,9.5,9,Graduate,Private nonprofit,Town,No,52.76,972,No,756,20.683,42.676,11.917,7.724,5.914,55.98,85.05,31.79,36.0544218,50.174,44.617
380800,Bethany College,Bethany,WV,South,23.143,11.7,Graduate,Private nonprofit,Rural,No,91.84,989,No,564,10.03,45.57,7.976,8.544,5.967,44.57,75.58,43.5,33.8797814,50.433,46.114
380900,Bluefield State College,Bluefield,WV,South,12,11.4,Bachelors,Public,Town,Yes,90.03,992,No,1231,10.961,18.685,3.987,6.969,6.38,54.23,49.64,31.78,49.2492493,26.625,35.878
381800,University of Charleston,Charleston,WV,South,11.999,7.8,Graduate,Private nonprofit,Small City,No,61.48,1079,No,2075,23.381,43.829,11.733,6.664,6.704,36.39,44.42,46.39,43.1273644,44.5695,48.303
381000,Concord University,Athens,WV,South,11.215,11.3,Graduate,Public,Town,No,91.4,972,No,1452,8.477,16.824,3.169,5.76,6.529,48.09,50.45,37.65,47.6538061,33.025,37.985
381200,Fairmont State University,Fairmont,WV,South,12.5,9.9,Graduate,Public,Town,No,94.34,1020,No,3298,11.326,17.639,3.935,6.734,6.469,39.04,52.23,35.24,41.3981431,41.285,35.93
381500,Marshall University,Huntington,WV,South,17.249,7.8,Graduate,Public,Small City,No,89.25,1080,No,7595,8.351,19.586,7.244,10.432,7.926,37.81,47.22,50.33,37.4023174,41.378,41.7
382600,West Virginia State University,Institute,WV,South,14.593,12.8,Graduate,Public,Suburb,Yes,88.5,1008,No,1716,16.118,19.144,4.545,5.074,6.274,20.93,25.07,30.1,43.3872502,30.715,34.584
382300,West Liberty University,West Liberty,WV,South,16,6.1,Graduate,Public,Rural,No,68.44,1039,No,1868,14.911,22.361,7.346,6.324,6.868,37.11,54.48,52.99,35.6297094,45.145,41.37
382701,West Virginia University Institute of Technology,Beckley,WV,South,15,6.5,Bachelors,Public,Small City,No,55.12,1034,No,1168,10.095,17.464,6.119,5.237,7.649,28.48,32.39,27.69,30.3916338,60.096,51.78
383000,West Virginia Wesleyan College,Buckhannon,WV,South,17.5,7,Graduate,Private nonprofit,Town,No,65.72,1020,No,977,21.113,46.187,11.941,6.603,5.966,36.34,68.52,55.18,29.5379538,63.074,46.444
382700,West Virginia University,Morgantown,WV,South,15,6.5,Graduate,Public,Small City,No,83.89,1152,No,19669,13.355,22.68,14.616,12.507,10.806,22.83,48.68,61.83,30.3916338,60.096,51.78
383100,Wheeling University,Wheeling,WV,South,12,3.7,Graduate,Private nonprofit,Small City,No,76.82,1009,No,582,30.815,41.651,16.277,10.221,7.106,33.83,80.45,41.67,36.7346939,59.2005,53.132
663900,Bellin College,Green Bay,WI,Midwest,15,0,Graduate,Private nonprofit,Rural,No,95.71,1140,No,383,24.804,30,14.961,7.984,7.645,13.57,46.32,65.22,31.0344828,83.8755,60.873
